Accession(1),Accession(2)
Q6ZSG1,P12755
Q6ZSG1,O43541
P49716,O14980
Q06609,O14980
Q14974,O95149
P51587,O14980
Q9UKV8,O14980
Q9UL18,O14980
Q9UPY3,O14980
Q15910,O14980
O14980,O95149
O14980,Q9GZX7
O14980,Q08211
O14980,O94776
O14980,P11388
O14980,Q96D46
P01375,Q96EP0
P62988,Q96EP0
Q9Y6K9,Q96EP0
Q96EP0,Q9BYM8
Q96EP0,Q9H0F6
P04049,P63104
P62993,Q9UQC2
P63104,P36405
Q96QK1,O75436
Q96QK1,Q9UBQ0
O75436,Q9UBQ0
P10275,Q9UBL3
Q9UBL3,O14686
Q9UBL3,Q14686
Q9UBL3,Q6P1J9
Q9UBL3,O43823
Q9UBL3,Q9UMN6
Q9UBL3,Q9C005
Q9UBL3,Q8NEZ4
Q9UBL3,O15047
Q9UBL3,Q9UPS6
P62988,Q96SW2
P62988,P48729
O14920,P48729
O95999,P48729
Q9BXL7,P48729
